Index,Title,Tags,Type,Language,Seasons,Z0XM,Imtiyaz,Lights,Legend,DeadPoOl,AvgRating
373,Khakee: The Bihar Chapter,"Drama, Comedy",Series,Hindi,1,,,,7,,7
372,Highschool of the Dead,"Drama, Action, Classic, Horror, Thriller, Gods & Demons",Animated Series,Japanese,1,,6,,,,6
371,Himouto! Umaru Chan,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,1,,6,,,,6
370,Kingdom of Ruins,"Romance, Action, Fantasy, War, Magic",Animated Series,Japanese,1,,5,,,,5
368,Happiness,"Drama, Horror, Thriller",Series,Korean,1,,6.5,,,,6.5
367,Reborn Rich,"Drama, Life, Mystery",Series,Korean,1,,6.5,,,,6.5
366,No Longer Allowed in Another World,"Drama, Fantasy, Dark Comedy, Magic, Isekai",Animated Series,Japanese,1,,5,,,,5
365,Sweetness and Lightning,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,1,,5,,,,5
333,Unamed Memory,"Drama, Romance, Fantasy, Magic",Animated Series,Japanese,1,,5,,,,5
295,Love Designer ,"Drama, Comedy, Life, Romance, Feel Good",Series,Chinese,1,,♾️,,,,♾️
290,Goblin - The Great and Lonely God,"Drama, Comedy, Romance, Feel Good, Gods & Demons, Magic",Series,Korean,1,,9.5,,,,9.5
289,Love at First Swipe,"Drama, Comedy, Romance",Series,Indonesian,1,,9,,,,9
288,Emily In Paris (4 Seaons),"Drama, Comedy, Life, Romance, Feel Good",Series,English,4,,8.5,,,,8.5
282,You are being summoned Azazel Z,"Drama, Comedy, Fantasy, Gods & Demons, Magic",Animated Series,Japanese,1,,5,,,,5
268,Itaewon Class,"Drama, Comedy, Life, Romance, Feel Good",Series,Korean,1,,8,,,,8
250,Plunderer,"Comedy, Action, Sci-Fi, War, SuperPowers",Animated Series,Japanese,1,,4,,,,4
246,Queen of Tears,"Drama, Comedy, Romance, Thriller, Mystery",Series,Korean,1,,7.5,,,,7.5
245,Tonari no Yokai-san,"Comedy, Fantasy",Animated Series,Japanese,1,,4,,,,4
243,My Girlfriend is an Alien,"Drama, Comedy, Romance, Sci-Fi, SuperPowers",Series,Chinese,2,,7,,,,7
235,Mr Queen,"Drama, Comedy, Romance, Fantasy, History",Series,Korean,1,,7,,,,7
232,Super Secret,"Drama, Comedy, Romance, Fantasy, Magic",Series,Korean,1,,7,,,,7
226,True Beauty,"Drama, Comedy, Romance",Series,Korean,1,,7,,,,7
220,Batameez Dil,"Drama, Romance, Musical",Series,Hindi,1,,6,,6.5,,6.25
217,Night at the museum,"Drama, Comedy, Fantasy",Movie,English,,,♾️,,,,♾️
216,300 : Rise of an Empire,"Drama, Action, Thriller, War, History, Real Incident",Movie,English,,,♾️,,,,♾️
215,Reborn as Vending Machine,"Comedy, Fantasy, Magic, Isekai",Animated Series,Japanese,1,,3,,,,3
214,Sasaki and Peeps,"Sci-Fi, SuperPowers",Animated Series,Japanese,1,,3,,,,3
213,Koi To Uso,"Drama, Romance",Movie,Japanese,,,3,,,,3
212,Batman Ninja,"Action, Fantasy, Sci-Fi, History, SuperPowers",Animated Movie,Japanese,,,3,,,,3
211,Legends of Guardians : The Owls of Ga'Hoole,"Adventure, Fantasy, Different",Animated Movie,English,,,♾️,,,,♾️
210,Death Bell,"Horror, Crime, Thriller, Mystery",Movie,English,,,10,,,,10
209,A Boy called Christmas,"Life, Feel Good, Fantasy, Mystery",Movie,English,,,10,,,,10
208,Bean,"Drama, Comedy, Life, Feel Good",Movie,English,,,10,,,,10
207,Bridge to Terabithia,"Drama, Life, Feel Good, Different",Movie,English,,,10,,,,10
206,Gods of Egypt,"Adventure, Action, Fantasy",Movie,English,,,10,,,,10
205,IP Man 3,"Drama, Action, History, Real Incident",Movie,English,,,10,,,,10
204,Master Z - Ip Man Legacy,"Drama, Action, Thriller",Movie,English,,,10,,,,10
203,Night at the Museum 2,"Drama, Comedy, Fantasy",Movie,English,,,10,,,,10
202,Night at the Museum 3,"Drama, Comedy, Fantasy",Movie,English,,,10,,,,10
201,Night at the Museum 4,"Drama, Comedy, Fantasy",Movie,English,,,10,,,,10
200,Real Steel,"Drama, Action, Sci-Fi",Movie,English,,,10,,,,10
199,Robin B-Hood,"Drama, Comedy, Life, Feel Good",Movie,Chinese,,,10,,,,10
198,The Last Samurai,"Drama, Action, History",Movie,English,,,10,,,,10
197,Trading Places,"Drama, Comedy",Movie,English,,,10,,,,10
196,Kubo and Two Strings,"Adventure, Fantasy, Different",Animated Movie,English,,,10,,,,10
195,Arthur Christmas,"Drama, Comedy, Feel Good, Fantasy",Animated Movie,English,,,10,,,,10
194,Klaus,"Comedy, Life",Animated Movie,English,,,10,,,,10
193,Turbo,"Comedy, Adventure, Sci-Fi",Animated Movie,English,,,10,,,,10
192,A Taxi Driver,"Drama, Crime, Thriller, History, Real Incident",Movie,Korean,,,9.5,,,,9.5
191,Ballerina,"Action, Thriller",Movie,Korean,,,9.5,,,,9.5
190,Central Intelligence,"Comedy, Action, Thriller",Movie,English,,,9.5,,,,9.5
189,Coach Carter,"Drama, Life",Movie,English,,,9.5,,,,9.5
188,Fast 5,"Adventure, Action, Crime",Movie,English,,,9.5,,,,9.5
187,IP Man 1,"Drama, Action, History, Real Incident",Movie,English,,,9.5,,,,9.5
186,The Creator,"Action, Sci-Fi, Thriller",Movie,English,,,9.5,,,,9.5
185,The Roundup - No Way Out,"Crime, Thriller, Real Incident",Movie,Korean,,,9.5,,,,9.5
184,The Terminal,"Drama, Comedy, Life, Romance, Feel Good",Movie,English,,,9.5,,,,9.5
183,Lorax,"Drama, Fantasy, Dark Comedy",Animated Movie,English,,,9.5,,,,9.5
182,The Blind Side,"Drama, Sports, Real Incident",Movie,English,,,10,,,9,9.5
181,13 Hours,"Action, Crime, Thriller, War, History, Real Incident",Movie,English,,,9,,,,9
180,A Writer's Odyssey,"Fantasy, Thriller, Gods & Demons, Magic",Movie,Chinese,,,9,,,,9
179,Clash of Titans,"Action, Fantasy, Thriller, War, History, Gods & Demons",Movie,English,,,9,,,,9
178,Mughal-e-Azam,"Drama, Romance, History",Movie,Hindi,,,9,,,,9
177,Mulan,"Adventure, Fantasy",Movie,English,,,9,,,,9
176,Ocean's 12,"Comedy, Sci-Fi, Thriller",Movie,English,,,9,,,,9
175,Snake in Eagle's Shadow,"Comedy, Action",Movie,English,,,9,,,,9
174,Warcraft,"Adventure, Action, Fantasy",Movie,English,,,9,,,,9
173,Wrath of Titans,"Adventure, Action, Fantasy",Movie,English,,,9,,,,9
172,Cloudy with the Chance of Meatballs,"Drama, Comedy, Sci-Fi",Animated Movie,English,,,9,,,,9
171,Secret Life of Pets 2,"Comedy, Adventure",Animated Movie,English,,,9,,,,9
170,36th Chamber of Shaolin,"Drama, Action",Movie,English,,,8.5,,,,8.5
169,Blast from the Past,"Drama, Comedy, Sci-Fi",Movie,English,,,8.5,,,,8.5
168,Ender's Game,"Action, Fantasy, Sci-Fi, Thriller, War",Movie,English,,,8.5,,,,8.5
167,Founder,"Drama, Real Incident",Movie,English,,,8.5,,,,8.5
166,Ghulam-e-Musthafa,"Drama, Action, Crime",Movie,Hindi,,,8.5,,,,8.5
165,Hacksaw Ridge,"Drama, War, History, Real Incident",Movie,English,,,8.5,,,,8.5
164,Miss Peregrine's Home for peculiar children,"Adventure, Fantasy, Mystery",Movie,English,,,8.5,,,,8.5
163,Ocean's 13,"Comedy, Sci-Fi, Thriller",Movie,English,,,8.5,,,,8.5
162,Rockstar,"Drama, Romance, Musical",Movie,Hindi,,,8.5,,8.5,,8.5
161,The Day After Tomorrow,"Adventure, Action, Sci-Fi",Movie,English,,,8.5,,,,8.5
160,"The Gangster, the cop and the devil","Action, Crime, Thriller, Real Incident",Movie,Korean,,,8.5,,,,8.5
159,The Hitman's Wife's Bodyguard,"Comedy, Action, Thriller",Movie,English,,,8.5,,,,8.5
158,The Intouchables,"Drama, Comedy, Real Incident",Movie,English,,,8.5,,,,8.5
157,The Man from Toronto,"Comedy, Action, Thriller",Movie,English,,,8.5,,,,8.5
156,Johnny English Strikes Again,"Comedy, Adventure, Action",Movie,English,,,8.5,,,,8.5
155,Mary Poppins Returns,"Drama, Fantasy, Musical",Movie,English,,,8.5,,,,8.5
154,Cloudy with the Chance of Meatballs 2,"Drama, Comedy, Sci-Fi, Different",Animated Movie,English,,,8.5,,,,8.5
153,Mirgation,"Drama, Thriller",Animated Movie,English,,,8.5,,,,8.5
152,The Croods,"Comedy, Adventure",Animated Movie,English,,,8.5,,,,8.5
151,A Haunting in Venice,"Horror, Crime, Thriller, Mystery",Movie,English,,,8,,,,8
150,Along with the gods -  Two worlds,"Fantasy, Thriller, Different, Gods & Demons, Magic",Movie,Korean,,,8,,,,8
149,Death on the Nile,"Crime, Thriller, Mystery",Movie,English,,,8,,,,8
148,Fast and Furious - F9,"Action, Crime, Thriller",Movie,English,,,8,,,,8
147,Furious 7,"Action, Crime, Thriller",Movie,English,,,8,,,,8
146,Hancock,"Drama, Comedy, Action",Movie,English,,,8,,,,8
145,Heart of Stone,"Drama, Action, Thriller",Movie,English,,,8,,,,8
144,Johnny English,"Comedy, Adventure, Action",Movie,English,,,8,,,,8
143,Krantiveer,"Drama, Action",Movie,Hindi,,,8,,,,8
142,Lift,"Drama, Adventure, Thriller",Movie,English,,,8,,,,8
141,Mortal Engines,"Adventure, Action, Sci-Fi",Movie,English,,,8,,,,8
140,Rampage,"Adventure, Action, Sci-Fi",Movie,English,,,8,,,,8
139,Red Notice,"Comedy, Action, Crime",Movie,English,,,8,,,,8
138,Rose Island,"Drama, Dark Comedy",Movie,Italian,,,8,,,,8
137,Space Sweepers,"Action, Sci-Fi, Thriller",Movie,Korean,,,8,,,,8
136,The Gray Man,"Action, Thriller",Movie,English,,,8,,,,8
135,The Hitman's Bodyguard,"Comedy, Action, Thriller",Movie,English,,,8,,,,8
134,The Lone Ranger,"Adventure, Action",Movie,English,,,8,,,,8
133,The Roundup,"Action, Crime, Thriller, Real Incident",Movie,Korean,,,8,,,,8
132,Secret Life of pets,"Comedy, Adventure",Animated Movie,English,,,8,,,,8
131,The Mitchells vs The Machines,"Drama, Adventure",Animated Movie,English,,,8,,,,8
130,Fifty Shades of Grey 2,"Drama, Romance",Movie,English,,,8,,7.5,,7.75
129,The Fast and the Furious,"Action, Crime, Thriller",Movie,English,,,7,,8.5,,7.75
128,2 Fast 2 Furious,"Comedy, Action, Sci-Fi",Movie,English,,,7.5,,7.5,,7.5
127,Bleeding Steel,"Comedy, Action, Sci-Fi",Movie,Chinese,,,7.5,,,,7.5
126,Case Depart,"Drama, Comedy, Sci-Fi, History",Movie,English,,,7.5,,,,7.5
125,Fast and Furious 4,"Adventure, Action, Thriller",Movie,English,,,7.5,,,,7.5
124,Green Book,"Drama, Comedy, Real Incident",Movie,English,,,7.5,,,,7.5
123,Magi : Adventures of Sinbad,"Comedy, Fantasy, Magic",Animated Series,Japanese,1,,2,,,,2
122,Tasuketsu - Fate of the Majority,"Fantasy, Thriller, Mystery, SuperPowers",Animated Series,Japanese,1,,2,,,,2
121,Kotaro Lives Alone,"Drama, Life, Feel Good",Animated Series,Japanese,1,,1,,,,1
120,IP Man 2,"Drama, Action, History, Real Incident",Movie,English,,,7.5,,,,7.5
119,Ministry of ungentlemanly warfare,"Action, War, History",Movie,English,,,7.5,,,,7.5
118,Rango,"Comedy, Adventure, Different",Movie,English,,,7.5,,,,7.5
116,The Magnificient Seven,"Adventure, Action",Movie,English,,,7.5,,,,7.5
115,A Beautiful Curse,"Drama, Life, Romance, Thriller, Mystery",Movie,English,,,7.5,,,,7.5
114,Vanguard ,"Action, Sci-Fi, Thriller",Movie,Chinese,,,7.5,,,,7.5
113,Happy Bhaag Jayegi,"Drama, Comedy, Romance",Movie,Hindi,,,,,,7.5,7.5
112,Aitraaz,"Drama, Romance, Thriller",Movie,Hindi,,,,,7.5,,7.5
111,Garv,"Drama, Action",Movie,Hindi,,,,,7.5,,7.5
110,Pawn Sacrifice,"Drama, Thriller, Real Incident",Movie,English,,,,,7.5,,7.5
109,Planes 2,"Comedy, Fantasy",Animated Movie,English,,,7.5,,,,7.5
108,Crazy Rich Asians,"Drama, Romance, Feel Good",Movie,English,,,8,,,6.5,7.25
107,6 Underground,"Comedy, Action, Sci-Fi, Crime, Thriller",Movie,English,,,7,,,,7
106,Argylle,"Drama, Comedy, Action",Movie,English,,,7,,,,7
105,Atlas,"Action, Sci-Fi, War",Movie,English,,,7,,,,7
104,Bad Guys : Reign of Chaos - The Movie,"Drama, Action, Crime, Mystery",Movie,Korean,,,7,,,,7
103,Beauty Water,"Thriller, Mystery, Dark Comedy",Movie,Korean,,,7,,,,7
102,Childhood's End,"Fantasy, Thriller, Mystery, Dark Comedy, Gods & Demons",Series,English,1,,4,,,,4
101,Beekeeper,"Action, Crime, Thriller",Movie,English,,,7,,,,7
100,Black Knight,"Drama, Comedy, Fantasy, History",Movie,English,,,7,,,,7
99,Fifty Shades of Grey 1,"Drama, Romance, Thriller",Movie,English,,,7,,7,,7
98,Chinese Zodiac,"Comedy, Action",Movie,English,,,7,,,,7
97,Countdown,"Fantasy, Horror, Thriller",Movie,English,,,7,,,,7
96,Fast and Furious 6,"Adventure, Action, Crime",Movie,English,,,7,,,,7
95,Invincible Iron Head,"Comedy, Action",Movie,Chinese,,,7,,,,7
94,Johnny English Reborn,"Comedy, Adventure, Action",Movie,English,,,7,,,,7
93,Kate,"Drama, Action, Thriller",Movie,English,,,7,,,,7
92,Kill Boksoon,"Drama, Life, Action",Movie,Korean,,,7,,,,7
91,Pirates - The Last Royal Treasure,"Fantasy, Thriller, Mystery",Movie,Korean,,,7,,,,7
90,Spy Kids 2 : Island of lost Dreams,"Drama, Adventure, Action",Movie,English,,,7,,,,7
89,The Fate of the furious - 8,"Drama, Action, Crime, Thriller",Movie,English,,,7,,,,7
88,The Foreigner,"Drama, Action, Thriller",Movie,English,,,7,,,,7
87,The Man from UNCLE,"Comedy, Adventure, Action",Movie,English,,,7,,,,7
86,The Protege,"Action, Thriller",Movie,English,,,7,,,,7
85,The Roundup - Punishment,"Crime, Thriller, Real Incident",Movie,Korean,,,7,,,,7
84,The Secret of My Success,"Comedy, Romance, Feel Good",Movie,English,,,7,,,,7
83,Chandigarh Kare Ashiqui,"Drama, Comedy, Romance",Movie,Hindi,,,,,7,7,7
82,The Legend of Bhagat Singh,"Drama, History, Real Incident",Movie,Hindi,,,,,7,,7
81,Bee Movie,"Comedy, Fantasy",Animated Movie,English,,,7,,,,7
80,DC Leagues of Super Pets,"Comedy, Action, Fantasy, Sci-Fi, SuperPowers",Animated Movie,English,,,7,,,,7
79,Home,"Drama, Comedy, Adventure",Animated Movie,English,,,7,,,,7
78,Planes,"Comedy, Fantasy",Animated Movie,English,,,7,,,,7
77,The Croods : 2,"Comedy, Adventure",Animated Movie,English,,,7,,,,7
76,The King's Man,"Comedy, Adventure, Action",Movie,English,,,7,,,6,6.5
75,355,"Action, Thriller, War",Movie,English,,,6.5,,,,6.5
74,Badland Hunters,"Sci-Fi, Thriller",Movie,Korean,,,6.5,,,,6.5
73,Boy Kills World,"Sci-Fi, Thriller, SuperPowers",Movie,English,,,6.5,,,,6.5
72,Chronicles of the Ghostly Tribes,"Fantasy, Sci-Fi, Thriller, Mystery, Gods & Demons, SuperPowers",Movie,Mandarin,,,6.5,,,,6.5
71,Fast X Part One,"Adventure, Action, Crime",Movie,English,,,6.5,,,,6.5
70,The Age of Adelaine,"Drama, Romance, Fantasy",Movie,English,,,6.5,,,,6.5
69,Fifty Shades of Grey 3,"Drama, Romance, Thriller",Movie,English,,,6,,7,,6.5
68,Gold,"Drama, History, Sports",Movie,Hindi,,,,,6.5,,6.5
67,Soorma,"Drama, Sports, Real Incident",Movie,Hindi,,,,,6.5,,6.5
66,#Alive,"Sci-Fi, Horror, Thriller, Mystery, Gods & Demons",Movie,Korean,,,6,,,,6
65,4x4,"Drama, Sci-Fi, Crime, Thriller, Mystery",Movie,English,,,6,,,,6
64,American Carnage,"Horror, Crime, Thriller, Mystery",Movie,English,,,6,,,,6
63,Immaculate,"Drama, Horror, Thriller",Movie,English,,,6,,,,6
62,Jolt,"Comedy, Action, Thriller",Movie,English,,,6,,,,6
61,Jumper,"Adventure, Action, Sci-Fi",Movie,English,,,6,,,,6
60,San Andreas,"Adventure, Action, Thriller",Movie,English,,,6,,,,6
59,Sky High,"Drama, Comedy, Action",Movie,English,,,6,,,,6
58,Skyscraper,"Drama, Action, Thriller",Movie,English,,,6,,,,6
57,Tower Heist,"Comedy, Action, Crime",Movie,English,,,6,,,,6
56,Underdog,"Drama, Comedy",Movie,English,,,6,,,,6
55,Van Helsing,"Action, Fantasy, Horror",Movie,English,,,6,,,,6
54,Senseless,"Comedy, Romance, Sci-Fi",Movie,English,,,6,,,,6
53,83,"Drama, Sports, Real Incident",Movie,Hindi,,,,,5,7,6
51,Jersey,"Drama, Documentary",Movie,Hindi,,,,,6,,6
50,My Fault,"Drama, Romance, Gods & Demons",Movie,English,,,,,6,,6
49,Monster vs Aliens,"Comedy, Adventure, Sci-Fi",Animated Movie,English,,,6,,,,6
48,Ava,"Drama, Action, Thriller",Movie,English,,,5.5,,,,5.5
47,I Think We Are Alone Now,"Drama, Sci-Fi, Mystery",Movie,English,,,5.5,,,,5.5
46,The Menu,"Comedy, Horror, Thriller",Movie,English,,,5.5,,,,5.5
45,Ghostbusters: Frozen Empire,"Comedy, Adventure, Fantasy",Movie,English,,,5,,,,5
44,I am Number Four,"Action, Fantasy, Sci-Fi",Movie,English,,,5,,,,5
43,Kung Fu Yoga,"Comedy, Adventure, Action",Movie,English,,,5,,,,5
42,Nowhere,"Drama, Thriller",Movie,English,,,5,,,,5
41,Doona,"Drama, Romance",Series,Korean,1,,1,,,,1
40,Orbita 9,"Drama, Sci-Fi",Movie,English,,,5,,,,5
39,Sharpnel,"Drama, Action, Thriller",Movie,English,,,5,,,,5
38,The Exorcism of God,"Drama, Horror",Movie,English,,,5,,,,5
37,The Mother,"Drama, Action, Thriller",Movie,English,,,5,,,,5
36,The Contractor,"Drama, Action, Thriller",Movie,English,,,4.5,,,,4.5
35,A.R.O.G,"Drama, Comedy, Sci-Fi, History",Movie,English,,,4,,,,4
34,Jennifer's Body,"Drama, Comedy, Horror",Movie,English,,,4,,,,4
33,The Last Witch Hunter,"Adventure, Action, Fantasy",Movie,English,,,4,,,,4
32,Love and Monsters,"Comedy, Romance, Adventure",Movie,English,,,4,,,,4
31,Zoolander,"Drama, Comedy",Movie,English,,,3.5,,,,3.5
30,Box Metaphor,"Thriller, Dark Comedy",Movie,English,,,3,,,,3
29,Domain,"Drama, Action, Sci-Fi, Thriller",Movie,English,,,3,,,,3
28,Dragonball Evolution,"Action, Fantasy, SuperPowers",Movie,English,,,3,,,,3
27,Monster Hunt,"Adventure, Fantasy",Movie,English,,,3,,,,3
26,Race to the Witch Mountain,"Drama, Adventure, Sci-Fi",Movie,English,,,3,,,,3
25,Richie Rich,"Drama, Comedy",Movie,English,,,3,,,,3
24,Trigger Warning,"Action, Thriller",Movie,English,,,3,,,,3
23,Tower Of God,"Action, Fantasy, Mystery, Magic",Animated Series,Japanese,2,,,,,9,9
22,Edge,"Drama, Action, Thriller",Movie,English,,,2,,,,2
21,R.I.P.D,"Comedy, Action, Sci-Fi",Movie,English,,,2,,,,2
20,Species,"Sci-Fi, Horror, Thriller",Movie,English,,,2,,,,2
19,Time Trap,"Drama, Action, Sci-Fi",Movie,English,,,2,,,,2
18,Bloodshot,"Action, Sci-Fi, SuperPowers",Movie,English,,,1,,,,1
17,Encounter,"Drama, Sci-Fi, Thriller",Movie,English,,,1,,,,1
16,Some Like It Rare,"Comedy, Horror",Movie,English,,,1,,,,1
15,The Mill,"Drama, Thriller",Movie,English,,,1,,,,1
14,Link Click,"Sci-Fi, Mystery",Series,Chinese,2,,,,,,0
13,Bad Guys Original,"Drama, Action, Crime, Thriller",Series,Korean,1,,,,,,0
12,Knuckles,"Adventure, Action",Series,English,1,,,,,,0
11,Vagabound,"Drama, Adventure",Series,Korean,1,,,,,,0
10,xXx : Return of Xander Cage,"Adventure, Action, Thriller",Movie,English,,,1,,,,1
9,I Saw the Devil,"Horror, Crime, Thriller",Movie,Korean,,,,,,,0
8,Creation of Gods 1 :Kingdom of Storms,"Drama, Fantasy, War, History, Gods & Demons, Magic",Movie,Chinese,,,,,,,0
7,Inglorious Bastards,"Drama, War, History",Movie,English,,,,,,,0
6,Ip Man 4,"Drama, Action, History, Real Incident",Movie,English,,,,,,,0
5,Ultraman Rising ,"Action, Sci-Fi",Movie,English,,,,,,,0
4,Do Aur do Pyaar,"Comedy, Romance",Movie,Hindi,,,,,,,0
3,24,"Drama, Action, Thriller",Movie,Tamil,,,,,,,0
2,A Thousand Words,"Drama, Comedy",Movie,English,,,,,,,0
1,Robots,"Comedy, Adventure",Animated Movie,English,,,,,,,0
