Index,Title,Tags,Type,Language,Seasons,Z0XM,Imtiyaz,Lights,Legend,DeadPoOl,AvgRating
859,Monster House,"Drama, Horror",Animated Movie,English,,,8,7,,,7.5
858,Gabbar Is Back,"Drama, Action, Thriller",Movie,Hindi,,,9,7,6.5,7,7.38
857,Commando: A One Man Army,"Adventure, Action, Thriller",Movie,Hindi,,,8,7,7,,7.33
856,Catch Me If You Can,"Comedy, Crime",Movie,English,,,7.5,7,,,7.25
855,Maleficent,"Drama, Adventure, Fantasy",Movie,English,,,7.5,7,,,7.25
854,Peaky Blinders,"Drama, Crime, History",Movie,English,,,,7,,,7
853,Following (1998),"Crime, Thriller, Mystery",Movie,English,,,,7,,,7
852,Gifted,Drama,Movie,English,,,7,7,,,7
851,Fall,"Drama, Thriller",Movie,English,,,7,7,,,7
850,Fall Guy,"Drama, Adventure, Fantasy",Movie,English,,,7,7,,,7
849,Pitch Perfect,"Comedy, Musical",Movie,English,,,7,7,,,7
848,Spy Kids 2001,"Drama, Adventure, Action",Movie,English,,,7,7,,,7
847,The Outlaws,"Action, Crime, Thriller, Real Incident",Movie,Korean,,,7,7,,,7
846,Sultan,"Drama, Adventure, Sports",Movie,Hindi,,,,7,7,7,7
845,Airlift,"Drama, Thriller, History",Movie,Hindi,,,,7,,,7
844,Mohenjo Daro,"Drama, Action, History",Movie,Hindi,,,,7,,,7
843,Hamilton,"Drama, History, Musical",Movie,English,,,,7,,,7
842,Memento,"Drama, Thriller, Mystery",Movie,English,,,,7,,,7
841,Pitch Perfect 3,"Comedy, Musical",Movie,English,,,,7,,,7
840,Rain Man,Drama,Movie,English,,,,7,,,7
839,VIP 2,"Drama, Comedy",Movie,Tamil,,,,7,,,7
838,Ace Ventura - When Nature Calls,"Drama, Comedy",Movie,English,,,6.5,7,,,6.75
837,The Internship,"Drama, Comedy",Movie,English,,,6.5,7,,,6.75
836,Zombieland,"Comedy, Action, Horror",Movie,English,,,6.5,7,,,6.75
835,Yaarana (1981),"Drama, Musical",Movie,Hindi,,,6,7,,,6.5
834,36 China Town,"Comedy, Thriller, Mystery",Movie,Hindi,,,6,7,,,6.5
833,A Quiet Place Part 2,"Drama, Thriller, Mystery, Gods & Demons",Movie,English,,,6,7,,,6.5
832,Liar Liar,"Comedy, Fantasy",Movie,English,,,6,7,,,6.5
831,The Sorcerer's Apprentice,"Adventure, Action, Fantasy",Movie,English,,,5.5,7,,,6.25
830,Mr. Poppers's Penguins,"Drama, Comedy",Movie,English,,,5,7,,,6
829,Dolittle,"Comedy, Fantasy",Movie,English,,,4,7,,,5.5
828,Legally Blonde,"Comedy, Romance",Movie,English,,,,7,,,7
827,Breakfast at Tiffany's,"Drama, Comedy, Romance",Movie,English,,,,7,,,7
826,Just my Luck,"Comedy, Romance, Fantasy",Movie,English,,,,7,,,7
825,Wajood,"Drama, Romance, Thriller",Movie,Hindi,,,10,7,,,8.5
824,Forrest Gump,"Drama, Romance",Movie,English,,,10,7,,,8.5
823,Twilight Saga - New Moon,"Drama, Romance, Fantasy",Movie,English,,,8.5,7,,,7.75
822,Twilight Saga,"Drama, Romance, Fantasy",Movie,English,,,8,7,,,7.5
821,Twilight Saga - Breaking Dawn 2,"Drama, Romance, Fantasy",Movie,English,,,8,7,,,7.5
820,Twilight Saga - Eclipse,"Drama, Romance, Fantasy",Movie,English,,,8,7,,,7.5
819,Twilight Saga - Breaking Dawn 1,"Drama, Romance, Fantasy",Movie,English,,,8,7,,,7.5
818,Mann,"Drama, Romance",Movie,Hindi,,,,7,,,7
817,13 Going on 30,"Comedy, Romance, Feel Good",Movie,English,,,,7,,,7
816,Monte Carlo,"Drama, Comedy, Romance, Feel Good",Movie,English,,,,7,,,7
815,Pardes,"Romance, Musical, Drama",Movie,Hindi,,,7,7,,,7
814,Rang De Basanti,"Drama, Romance, History",Movie,Hindi,,,,7,7,,7
813,Confessions of a Shopaholic,"Drama, Comedy, Romance",Movie,English,,,,7,,,7
812,Anjaana Anjaani,"Drama, Comedy, Romance",Movie,Hindi,,,,7,,,7
811,Gadar: Ek Prem Katha,"Drama, Romance, Action",Movie,Hindi,,,,7,7,,7
810,Kismat Konnection,"Drama, Comedy, Romance",Movie,Hindi,,,,7,,,7
809,"Eat, Pray, Love","Drama, Romance",Movie,English,,,,7,,,7
808,Little Women,"Drama, Romance",Movie,English,,,,7,,,7
807,Roman Holiday,"Drama, Comedy, Romance",Movie,English,,,,7,,,7
806,Shaadi me Jarur Aana,"Drama, Romance",Movie,Hindi,,,,7,6.5,7,6.83
805,Devdas,"Drama, Romance, Musical",Movie,Hindi,,,6,7,,,6.5
804,Dilwale,"Comedy, Romance, Action",Movie,Hindi,,,6,7,,,6.5
803,The Secret Life of Walter Mitty,"Drama, Life, Feel Good, Adventure",Movie,English,,,8.5,7,,,7.75
793,X-Men: Apocalypse,"Adventure, Action, Sci-Fi, SuperPowers",Movie,English,,,9,7,,,8
792,X-Men: Days of Future Past,"Adventure, Action, Sci-Fi, SuperPowers",Movie,English,,,9,7,,,8
791,Terminator 3 : Rise of Machines,"Action, Sci-Fi, Thriller",Movie,English,,,8,7,,,7.5
790,X-Men: First Class,"Adventure, Action, Sci-Fi, SuperPowers",Movie,English,,,8,7,,,7.5
789,Lightyear,"Adventure, Sci-Fi",Animated Movie,English,,,7,7,,,7
787,Wall - E,"Drama, Adventure, Sci-Fi",Animated Movie,English,,,♾️,7,,,♾️
763,Star Wars: Return of the Jedi,"Adventure, Action, Sci-Fi",Movie,English,,,,7,,,7
762,Star Wars: Rise of Skywalker,"Adventure, Action, Sci-Fi",Movie,English,,,,7,,,7
761,Star Wars: The last Jedi,"Adventure, Action, Sci-Fi",Movie,English,,,,7,,,7
760,Godzilla x Kong : The New Empire,"Action, Sci-Fi, Thriller",Movie,English,,,7,7,,,7
759,Chain Reaction,"Action, Sci-Fi, Thriller",Movie,English,,,,7,,,7
758,Solaries,"Drama, Sci-Fi, Mystery",Movie,English,,,,7,,,7
757,Sunshine,"Adventure, Sci-Fi, Thriller",Movie,English,,,,7,,,7
756,Jurassic World: Fallen Kingdom,"Adventure, Fantasy, Sci-Fi, Thriller",Movie,English,,,6.5,7,,,6.75
755,Mission Mangal,"Drama, Sci-Fi",Movie,Hindi,,,,7,6,7,6.67
754,Jurassic World Dominion,"Adventure, Fantasy, Sci-Fi, Thriller",Movie,English,,,6,7,,,6.5
753,Passengers,"Drama, Romance, Sci-Fi",Movie,English,,,8,7,,,7.5
752,Baar Baar Dekho,"Drama, Romance, Sci-Fi",Movie,Hindi,,,,7,6,,6.5
751,My Neighbor Totoro,"Drama, Fantasy",Animated Movie,Japanese,,,,7,,,7
750,Kiki's Delivery Service,"Adventure, Fantasy",Animated Movie,Japanese,,,,7,,,7
738,Ghosted,"Comedy, Adventure, Action",Movie,English,,,7,6.5,,,6.75
737,Pukar,"Drama, Romance, Action",Movie,Hindi,,,,6.5,,,6.5
736,The Hero: Love Story of a Spy,"Romance, Action, Thriller",Movie,Hindi,,,,6.5,6.5,,6.5
735,Before Midnight,"Drama, Romance",Movie,English,,,,6.5,,,6.5
734,Before Sunset,"Drama, Romance",Movie,English,,,,6.5,,,6.5
733,What's Your Number?,"Comedy, Romance",Movie,English,,,6,6.5,,,6.25
732,The Circle,"Drama, Sci-Fi, Thriller",Movie,English,,,,6.5,,,6.5
731,A Whisker Away,"Romance, Fantasy",Animated Movie,Japanese,,,,6.5,,,6.5
645,Alvin and the chipmunks 3,"Drama, Comedy, Feel Good",Movie,English,,,9,6,,,7.5
644,Alvin and the chipmunks 2,"Drama, Comedy, Feel Good",Movie,English,,,8.5,6,,,7.25
643,Baaghi,"Drama, Comedy, Action",Movie,Hindi,,,8.5,6,6.5,,7
642,Snakes on a Plane,"Action, Horror, Thriller",Movie,English,,,8,6,,,7
641,Uri: The Surgical Strike,"Drama, Action, Thriller",Movie,Hindi,,,,6,7,8,7
640,Wanted,"Action, Crime, Thriller",Movie,Hindi,,,7,6,7.5,7,6.88
639,Alice in Wonderland,"Feel Good, Fantasy, Magic",Movie,English,,,7.5,6,,,6.75
638,Home Alone 3,"Drama, Comedy, Adventure",Movie,English,,,7.5,6,,,6.75
637,Gangaajal,"Drama, Crime, Thriller",Movie,Hindi,,,,6,7.5,,6.75
636,Ab Tumhare Hawale Watan Saathiyo,"Drama, Action, War",Movie,Hindi,,,6,6,7,,6.33
635,Singham Returns,"Drama, Action",Movie,Hindi,,,7.5,6,5.5,6,6.25
634,Percy Jackson - Sea of Monsters,"Drama, Adventure, Fantasy",Movie,English,,,6,6,,,6
633,Baby Driver,"Drama, Crime, Thriller",Movie,English,,,6,6,,,6
632,Goosebumps,"Drama, Comedy, Adventure",Movie,English,,,6,6,,,6
631,Home Alone 2: Lost in New York,"Drama, Comedy, Adventure",Movie,English,,,6,6,,,6
630,The Map of Tiny Perfect Things,"Drama, Comedy, Fantasy",Movie,English,,,6,6,,,6
629,Jungle Cruise,"Comedy, Adventure, Fantasy",Movie,English,,,5,6,,,5.5
628,Notting Hill,"Drama, Comedy, Romance",Movie,English,,,,6,,,6
627,Fault in our Stars,"Drama, Romance",Movie,English,,,,6,,,6
626,What Happens in Vegas,"Comedy, Romance",Movie,English,,,,6,,,6
625,Delhi-6,"Drama, Romance, Musical",Movie,Hindi,,,,6,,,6
623,Adventures of Sharkboy and Lavagirl,"Comedy, Fantasy, Sci-Fi, SuperPowers",Movie,English,,,9.5,6,,,7.75
608,I Robot,"Action, Sci-Fi, Thriller",Movie,English,,,10,6,,,8
607,Jurassic Park 3,"Adventure, Sci-Fi, Thriller",Movie,English,,,9,6,,,7.5
606,Jurassic Park 2,"Adventure, Sci-Fi, Thriller",Movie,English,,,8.5,6,,,7.25
605,The Adam Project,"Comedy, Adventure, Sci-Fi",Movie,English,,,8,6,,,7
604,Maze Runner: The Scorch Trials,"Adventure, Sci-Fi, Thriller",Movie,English,,,7.5,6,,,6.75
603,Armageddon,"Sci-Fi, Thriller",Movie,English,,,7,6,,,6.5
602,Maze Runner: The Death Cure,"Adventure, Sci-Fi, Thriller",Movie,English,,,6.5,6,,,6.25
601,Looper,"Action, Sci-Fi, Thriller",Movie,English,,,4,6,,6,5.33
600,The Space Between Us,"Drama, Romance, Sci-Fi",Movie,English,,,,6,,,6
598,The Spy Next Door,"Drama, Feel Good, Action",Movie,English,,,5,5.5,,,5.25
597,Back to the Future 2,"Comedy, Adventure, Sci-Fi",Movie,English,,,,5.5,,,5.5
